DocID,ParaID,Entity,Type
2_1,1,香港,Financial Infrastructure
2_1,1,美国,Government
2_1,1,DHL,Company
2_1,1,陈茂波,Key People
2_1,1,特朗普,Key People
2_1,1,东盟市场,Market
2_1,1,关税战,Regulation
1_1,1,Donald Trump,Government
1_1,1,Korea National Oil Corp,Company
1_1,1,Petroliam Nasional Bhd,Company
1_1,1,Posco Holdings Inc.,Company
1_1,1,Jollibee Foods Corp.,Company
1_1,1,MTR Corp. Ltd.,Company
1_1,1,Mizuho Securities Asia,Company
1_1,1,Barclays,Bank
1_1,1,Bloomberg,Company
1_1,1,US Treasury,Government
4_1,1,Robert Kiyosaki,Key People
4_1,1,Silver,Product
4_1,1,Bitcoin,Product
4_1,1,Gold,Product
4_1,1,Solana,Product
4_1,1,Kraken,Company
5_1,1,Nvidia,Company
5_1,1,MicroStrategy,Company
5_1,1,Bitcoin,Product
5_1,1,SharpLink Gaming,Company
5_1,1,Consensys,Company
5_1,1,Ethereum,Product
5_1,1,Dow Jones,Financial Infrastructure
5_1,1,Nasdaq,Financial Infrastructure
5_1,1,Curaleaf Holdings,Company
5_1,1,Cannabis,Product
5_1,1,Salesforce,Company
5_1,1,Informatica,Company
5_1,1,Cloud Data Management,Product
7_1,1,China,Government
7_1,1,US,Government
7_1,1,Trump,Key People
7_1,1,Xi Jinping,Key People
7_1,1,Chinese Ministry of Commerce,Government
7_1,1,EU,Government
7_1,1,Salzgitter,Company
7_1,1,Gap,Company
7_1,1,Tesla,Company
7_1,1,Elon Musk,Key People
7_1,1,US Court of International Trade,Regulator
7_1,1,Supreme Court,Regulator
6_1,1,Dow Jones Industrial Average,Financial Infrastructure
6_1,1,S&P 500,Financial Infrastructure
6_1,1,Nasdaq Composite,Financial Infrastructure
6_1,1,President Trump,Government
6_1,1,European Union,Government
6_1,1,Nvidia,Company
6_1,1,Tesla,Company
6_1,1,Federal Reserve,Regulator
6_1,1,Japan,Government
6_1,1,US Treasury,Government
6_1,1,Trump Media & Technology Group,Company
6_1,1,Bitcoin,Product
6_1,1,Salesforce,Company
6_1,1,Informatica,Company
8_1,1,Elon Musk,Key People
8_1,1,Donald Trump,Key People
8_1,1,DOGE,Government
8_1,1,Department of Government Efficiency,Government
8_1,1,David Sacks,Key People
8_1,1,Uber,Company
8_1,1,Dara Khosrowshahi,Key People
8_1,1,Sen. Ron Johnson,Key People
8_1,1,Brookings Institution,Financial Infrastructure
9_1,1,Nvidia,Company
9_1,1,S&P 500,Financial Infrastructure
9_1,1,Wall Street,Financial Infrastructure
9_1,1,Stifel,Company
9_1,1,Bank of America,Bank
9_1,1,Ruben Roy,Key People
9_1,1,Vivek Arya,Key People
9_1,1,Hopper,Product
9_1,1,Blackwell,Product
9_1,1,H20,Product
9_1,1,H200,Product
9_1,1,GB200,Product
9_1,1,DeepSeek,Company
9_1,1,Trump,Government
10_1,1,United States Court of International Trade,Government
10_1,1,President Trump,Key People
10_1,1,White House,Government
10_1,1,Kush Desai,Key People
10_1,1,International Emergency Economic Powers Act (IEEPA),Regulation
10_1,1,Goldman Sachs,Company
10_1,1,Sen. Ron Wyden,Key People
10_1,1,Trade Expansion Act of 1962,Regulation
10_1,1,Trade Act of 1974,Regulation
12_1,1,Donald Trump,Key People
12_1,1,US Customs Bureau,Government
12_1,1,Raymond James,Company
12_1,1,Yale Budget Lab,Financial Infrastructure
12_1,1,Financial Times,Company
12_1,1,Robert Armstrong,Key People
12_1,1,Supreme Court,Government
12_1,1,European trade negotiators,Government
13_1,1,Donald Trump,Government
13_1,1,Court of International Trade,Regulator
13_1,1,Supreme Court,Regulator
13_1,1,Capital Alpha Partners,Company
13_1,1,James Lucier,Key People
13_1,1,Apple,Company
13_1,1,Apple smartphones,Product
13_1,1,Yahoo Finance,Company
13_1,1,Rick Newman,Key People
11_1,1,China,Government
11_1,1,US,Government
11_1,1,Chinese Ministry of Commerce,Government
11_1,1,President Trump,Key People
11_1,1,Xi Jinping,Key People
11_1,1,Truth Social,Product
11_1,1,US Court of International Trade,Regulator
11_1,1,Supreme Court,Regulator
11_1,1,EU Commission,Government
11_1,1,Ursula von der Leyen,Key People
11_1,1,Howard Lutnick,Key People
11_1,1,National Economic Council,Government
11_1,1,Kevin Hassett,Key People
11_1,1,Treasury Secretary,Government
11_1,1,Scott Bessent,Key People
11_1,1,Commerce Secretary,Government
14_1,1,Meta,Company
14_1,1,Anduril,Company
14_1,1,Palmer Luckey,Key People
14_1,1,Mark Zuckerberg,Key People
14_1,1,Andrew Bosworth,Key People
14_1,1,AR/VR military tech,Product
14_1,1,Lattice analytics platform,Product
14_1,1,Llama AI models,Product
14_1,1,US Army,Government
14_1,1,Microsoft,Company
14_1,1,Amazon,Company
14_1,1,Google,Company
17_1,1,Federal Reserve,Regulator
17_1,1,Jerome Powell,Key People
17_1,1,Lorie Logan,Key People
17_1,1,Neel Kashkari,Key People
17_1,1,Trump,Government
17_1,1,Morgan Stanley Wealth Management,Company
17_1,1,Ellen Zentner,Key People
17_1,1,LPL Financial,Company
17_1,1,Jeffrey Roach,Key People
17_1,1,White House,Government
15_1,1,Elon Musk,Key People
15_1,1,Tesla,Company
15_1,1,SpaceX,Company
15_1,1,X,Company
15_1,1,xAI,Company
15_1,1,DOGE,Product
15_1,1,President Trump,Government
15_1,1,Department of Government Efficiency,Government
15_1,1,White House,Government
15_1,1,OpenAI,Company
15_1,1,Sam Altman,Key People
15_1,1,Wall Street Journal,Company
15_1,1,New York Times,Company
15_1,1,Brookings Institution,Financial Infrastructure
15_1,1,USAID,Government
15_1,1,Washington Post,Company
15_1,1,CBS,Company
15_1,1,Bloomberg,Company
15_1,1,CNBC,Company
15_1,1,Ars Technica,Company
19_1,1,Elon Musk,Key People
19_1,1,Donald Trump,Government
19_1,1,DOGE,Financial Infrastructure
19_1,1,Tesla,Company
19_1,1,SpaceX,Company
19_1,1,White House,Government
19_1,1,House of Representatives,Government
19_1,1,Senate,Government
19_1,1,Committee for a Responsible Federal Budget,Rating Agency
20_1,1,Conference Board,Company
20_1,1,Wells Fargo,Bank
20_1,1,JPMorgan,Bank
20_1,1,Trump,Key People
20_1,1,China,Government
20_1,1,US,Government
20_1,1,European Union,Government
20_1,1,Apple,Company
20_1,1,Stephanie Guichard,Key People
20_1,1,Tim Quinlan,Key People
18_1,1,Nvidia,Company
18_1,1,S&P 500,Financial Infrastructure
18_1,1,Nasdaq Composite,Financial Infrastructure
18_1,1,Dow Jones Industrial Average,Financial Infrastructure
18_1,1,Trump,Government
18_1,1,US Court of International Trade,Regulator
18_1,1,Federal Reserve,Regulator
18_1,1,Jerome Powell,Key People
18_1,1,Best Buy,Company
18_1,1,Costco,Company
18_1,1,Walmart,Company
18_1,1,Goldman Sachs,Company
18_1,1,Barclays,Company
18_1,1,Tesla,Company
18_1,1,Elon Musk,Key People
18_1,1,Salesforce,Company
18_1,1,HP Inc,Company
18_1,1,OPEC+,Government
16_1,1,Dow Jones Industrial Average,Financial Infrastructure
16_1,1,S&P 500,Financial Infrastructure
16_1,1,Nasdaq Composite,Financial Infrastructure
16_1,1,China,Government
16_1,1,US,Government
16_1,1,President Trump,Key People
16_1,1,Federal Reserve,Regulator
16_1,1,Christopher Waller,Key People
16_1,1,Jerome Powell,Key People
16_1,1,CrowdStrike,Company
16_1,1,Broadcom,Company
16_1,1,DocuSign,Company
16_1,1,Lululemon,Company
16_1,1,BioNTech,Company
16_1,1,Bristol Myers Squibb,Company
16_1,1,Merck,Company
16_1,1,Moderna,Company
16_1,1,Blueprint Medicines,Company
16_1,1,Sanofi,Company
16_1,1,Cleveland-Cliffs,Company
16_1,1,Nucor,Company
16_1,1,Steel Dynamics,Company
16_1,1,US Steel Corporation,Company
16_1,1,Nippon,Company
16_1,1,Posco,Company
16_1,1,Hyundai Steel,Company
16_1,1,Tesla,Company
16_1,1,Elon Musk,Key People
16_1,1,OPEC+,Government
16_1,1,West Texas Intermediate,Product
16_1,1,Brent Crude Oil,Product
16_1,1,Campbell's Company,Company
22_1,1,National Association of Realtors,Regulator
22_1,1,Lawrence Yun,Key People
22_1,1,Realtor.com,Company
22_1,1,Pending Home Sales Index,Financial Infrastructure
22_1,1,Yahoo Finance,Company
21_1,1,Donald Trump,Government
21_1,1,Xi Jinping,Government
21_1,1,China,Government
21_1,1,United States,Government
21_1,1,Kevin Hassett,Key People
21_1,1,Scott Bessent,Key People
21_1,1,Howard Lutnick,Key People
21_1,1,Chinese Ministry of Commerce,Regulator
21_1,1,National Economic Council,Government
21_1,1,Treasury,Government
21_1,1,Commerce,Government
21_1,1,critical minerals,Product
21_1,1,semiconductors,Product
21_1,1,tariffs,Product
25_1,1,Federal Reserve,Regulator
25_1,1,Jerome Powell,Key People
25_1,1,Donald Trump,Government
25_1,1,White House,Government
25_1,1,Karoline Leavitt,Key People
25_1,1,Kevin Warsh,Key People
25_1,1,Supreme Court,Government
26_1,1,Nvidia,Company
26_1,1,H20,Product
26_1,1,China,Government
26_1,1,US,Government
26_1,1,Jensen Huang,Key People
26_1,1,Wedbush,Company
26_1,1,Dan Ives,Key People
26_1,1,Biden,Key People
26_1,1,Trump,Key People
24_1,1,China,Government
24_1,1,US,Government
24_1,1,Chinese Ministry of Commerce,Government
24_1,1,President Trump,Key People
24_1,1,Xi Jinping,Key People
24_1,1,EU,Government
24_1,1,Ursula von der Leyen,Key People
24_1,1,Howard Lutnick,Key People
24_1,1,Kevin Hassett,Key People
24_1,1,Scott Bessent,Key People
24_1,1,Mark Carney,Key People
24_1,1,Gunnar Groebler,Key People
24_1,1,Tarang Amin,Key People
24_1,1,Richard Dickson,Key People
24_1,1,Elon Musk,Key People
24_1,1,e.l.f. Beauty,Company
24_1,1,Gap,Company
24_1,1,Tesla,Company
24_1,1,Salzgitter,Company
24_1,1,Manley Labs,Company
24_1,1,EarthQuaker Devices,Company
24_1,1,Huawei,Company
24_1,1,Yangtze Memory Technologies,Company
